"Grants of entry clearance visas, by course level, 2018 to 2025 Q1 - dataset [Notes 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12] ",,,,,,
Link to notes,,,,,,
Year,Quarter,Nationality,Region,Visa type subgroup,Course level,Grants
2018,2018 Q1,Jamaica,America Central and South,Tier 4 - General Student,Bachelors,1
2018,2018 Q1,Jamaica,America Central and South,Tier 4 - General Student,Masters,2
2018,2018 Q1,Japan,Asia East,Tier 4 - General Student,Bachelors,17
2018,2018 Q1,Japan,Asia East,Tier 4 - General Student,Below Bachelors,38
2018,2018 Q1,Japan,Asia East,Tier 4 - General Student,Doctoral,7
2018,2018 Q1,Japan,Asia East,Tier 4 - General Student,Masters,8
2018,2018 Q1,Japan,Asia East,Tier 4 - General Student,Pre-sessional English,65
2018,2018 Q1,Jordan,Middle East,Tier 4 - General Student,Bachelors,16
2018,2018 Q1,Jordan,Middle East,Tier 4 - General Student,Below Bachelors,28
2018,2018 Q1,Jordan,Middle East,Tier 4 - General Student,Doctoral,33
2018,2018 Q1,Jordan,Middle East,Tier 4 - General Student,Masters,41
2018,2018 Q1,Jordan,Middle East,Tier 4 - General Student,Pre-sessional English,4
2018,2018 Q1,Kazakhstan,Asia Central,Tier 4 - General Student,Bachelors,7
2018,2018 Q1,Kazakhstan,Asia Central,Tier 4 - General Student,Below Bachelors,5
2018,2018 Q1,Kazakhstan,Asia Central,Tier 4 - General Student,Doctoral,1
2018,2018 Q1,Kazakhstan,Asia Central,Tier 4 - General Student,Masters,14
2018,2018 Q1,Kazakhstan,Asia Central,Tier 4 - General Student,Pre-sessional English,1
2018,2018 Q1,Kenya,Africa Sub-Saharan,Tier 4 - General Student,Bachelors,17
2018,2018 Q1,Kenya,Africa Sub-Saharan,Tier 4 - General Student,Below Bachelors,25
2018,2018 Q1,Kenya,Africa Sub-Saharan,Tier 4 - General Student,Doctoral,11
2018,2018 Q1,Kenya,Africa Sub-Saharan,Tier 4 - General Student,Masters,29
2018,2018 Q1,Kuwait,Middle East,Tier 4 - General Student,Bachelors,42
2018,2018 Q1,Kuwait,Middle East,Tier 4 - General Student,Below Bachelors,161
2018,2018 Q1,Kuwait,Middle East,Tier 4 - General Student,Doctoral,29
2018,2018 Q1,Kuwait,Middle East,Tier 4 - General Student,Masters,34
2018,2018 Q1,Kuwait,Middle East,Tier 4 - General Student,Pre-sessional English,6
2018,2018 Q1,Kyrgyzstan,Asia Central,Tier 4 - General Student,Bachelors,1
2018,2018 Q1,Kyrgyzstan,Asia Central,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Kyrgyzstan,Asia Central,Tier 4 - General Student,Masters,2
2018,2018 Q1,Laos,Asia South East,Tier 4 - General Student,Bachelors,1
2018,2018 Q1,Laos,Asia South East,Tier 4 - General Student,Below Bachelors,2
2018,2018 Q1,Lebanon,Middle East,Tier 4 - General Student,Bachelors,8
2018,2018 Q1,Lebanon,Middle East,Tier 4 - General Student,Below Bachelors,8
2018,2018 Q1,Lebanon,Middle East,Tier 4 - General Student,Doctoral,6
2018,2018 Q1,Lebanon,Middle East,Tier 4 - General Student,Masters,24
2018,2018 Q1,Lesotho,Africa Sub-Saharan,Tier 4 - General Student,Masters,1
2018,2018 Q1,Liberia,Africa Sub-Saharan,Tier 4 - General Student,Masters,2
2018,2018 Q1,Libya,Africa North,Tier 4 - General Student,Below Bachelors,3
2018,2018 Q1,Libya,Africa North,Tier 4 - General Student,Doctoral,15
2018,2018 Q1,Libya,Africa North,Tier 4 - General Student,Masters,3
2018,2018 Q1,Libya,Africa North,Tier 4 - General Student,Pre-sessional English,12
2018,2018 Q1,Macau,Asia East,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Malawi,Africa Sub-Saharan,Tier 4 - General Student,Doctoral,4
2018,2018 Q1,Malawi,Africa Sub-Saharan,Tier 4 - General Student,Masters,3
2018,2018 Q1,Malaysia,Asia South East,Tier 4 - General Student,Bachelors,58
2018,2018 Q1,Malaysia,Asia South East,Tier 4 - General Student,Below Bachelors,37
2018,2018 Q1,Malaysia,Asia South East,Tier 4 - General Student,Doctoral,12
2018,2018 Q1,Malaysia,Asia South East,Tier 4 - General Student,Masters,53
2018,2018 Q1,Malaysia,Asia South East,Tier 4 - General Student,Pre-sessional English,3
2018,2018 Q1,Maldives,Asia South,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Maldives,Asia South,Tier 4 - General Student,Doctoral,1
2018,2018 Q1,Maldives,Asia South,Tier 4 - General Student,Masters,1
2018,2018 Q1,Mali,Africa Sub-Saharan,Tier 4 - General Student,Masters,1
2018,2018 Q1,Mauritania,Africa North,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Mauritania,Africa North,Tier 4 - General Student,Masters,1
2018,2018 Q1,Mauritius,Africa Sub-Saharan,Tier 4 - General Student,Bachelors,2
2018,2018 Q1,Mauritius,Africa Sub-Saharan,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Mauritius,Africa Sub-Saharan,Tier 4 - General Student,Doctoral,2
2018,2018 Q1,Mauritius,Africa Sub-Saharan,Tier 4 - General Student,Masters,7
2018,2018 Q1,Mexico,America Central and South,Tier 4 - General Student,Bachelors,2
2018,2018 Q1,Mexico,America Central and South,Tier 4 - General Student,Below Bachelors,4
2018,2018 Q1,Mexico,America Central and South,Tier 4 - General Student,Doctoral,42
2018,2018 Q1,Mexico,America Central and South,Tier 4 - General Student,Masters,19
2018,2018 Q1,Moldova,Europe Other,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Mongolia,Asia East,Tier 4 - General Student,Bachelors,3
2018,2018 Q1,Mongolia,Asia East,Tier 4 - General Student,Below Bachelors,5
2018,2018 Q1,Mongolia,Asia East,Tier 4 - General Student,Doctoral,1
2018,2018 Q1,Mongolia,Asia East,Tier 4 - General Student,Masters,9
2018,2018 Q1,Mongolia,Asia East,Tier 4 - General Student,Pre-sessional English,1
2018,2018 Q1,Montenegro,Europe Other,Tier 4 - General Student,Masters,1
2018,2018 Q1,Morocco,Africa North,Tier 4 - General Student,Bachelors,12
2018,2018 Q1,Morocco,Africa North,Tier 4 - General Student,Below Bachelors,15
2018,2018 Q1,Morocco,Africa North,Tier 4 - General Student,Doctoral,3
2018,2018 Q1,Morocco,Africa North,Tier 4 - General Student,Masters,40
2018,2018 Q1,Morocco,Africa North,Tier 4 - General Student,Pre-sessional English,4
2018,2018 Q1,Mozambique,Africa Sub-Saharan,Tier 4 - General Student,Bachelors,2
2018,2018 Q1,Mozambique,Africa Sub-Saharan,Tier 4 - General Student,Below Bachelors,2
2018,2018 Q1,Mozambique,Africa Sub-Saharan,Tier 4 - General Student,Doctoral,1
2018,2018 Q1,Mozambique,Africa Sub-Saharan,Tier 4 - General Student,Masters,1
2018,2018 Q1,Mozambique,Africa Sub-Saharan,Tier 4 - General Student,Pre-sessional English,1
2018,2018 Q1,Myanmar (Burma),Asia South East,Tier 4 - General Student,Bachelors,9
2018,2018 Q1,Myanmar (Burma),Asia South East,Tier 4 - General Student,Below Bachelors,9
2018,2018 Q1,Myanmar (Burma),Asia South East,Tier 4 - General Student,Doctoral,1
2018,2018 Q1,Myanmar (Burma),Asia South East,Tier 4 - General Student,Masters,2
2018,2018 Q1,Namibia,Africa Sub-Saharan,Tier 4 - General Student,Bachelors,2
2018,2018 Q1,Namibia,Africa Sub-Saharan,Tier 4 - General Student,Below Bachelors,5
2018,2018 Q1,Namibia,Africa Sub-Saharan,Tier 4 - General Student,Doctoral,1
2018,2018 Q1,Namibia,Africa Sub-Saharan,Tier 4 - General Student,Masters,7
2018,2018 Q1,Nepal,Asia South,Tier 4 - General Student,Bachelors,6
2018,2018 Q1,Nepal,Asia South,Tier 4 - General Student,Doctoral,5
2018,2018 Q1,Nepal,Asia South,Tier 4 - General Student,Masters,23
2018,2018 Q1,New Zealand,Oceania,Tier 4 - General Student,Bachelors,8
2018,2018 Q1,New Zealand,Oceania,Tier 4 - General Student,Doctoral,1
2018,2018 Q1,New Zealand,Oceania,Tier 4 - General Student,Masters,3
2018,2018 Q1,Nigeria,Africa Sub-Saharan,Tier 4 - General Student,Bachelors,151
2018,2018 Q1,Nigeria,Africa Sub-Saharan,Tier 4 - General Student,Below Bachelors,44
2018,2018 Q1,Nigeria,Africa Sub-Saharan,Tier 4 - General Student,Doctoral,168
2018,2018 Q1,Nigeria,Africa Sub-Saharan,Tier 4 - General Student,Masters,454
2018,2018 Q1,Nigeria,Africa Sub-Saharan,Tier 4 - General Student,Pre-sessional English,2
2018,2018 Q1,North Macedonia,Europe Other,Tier 4 - General Student,Doctoral,1
2018,2018 Q1,Occupied Palestinian Territories,Middle East,Tier 4 - General Student,Bachelors,7
2018,2018 Q1,Occupied Palestinian Territories,Middle East,Tier 4 - General Student,Below Bachelors,7
2018,2018 Q1,Occupied Palestinian Territories,Middle East,Tier 4 - General Student,Doctoral,1
2018,2018 Q1,Occupied Palestinian Territories,Middle East,Tier 4 - General Student,Masters,3
2018,2018 Q1,Occupied Palestinian Territories,Middle East,Tier 4 - General Student,Pre-sessional English,2
2018,2018 Q1,Oman,Middle East,Tier 4 - General Student,Bachelors,26
2018,2018 Q1,Oman,Middle East,Tier 4 - General Student,Below Bachelors,23
2018,2018 Q1,Oman,Middle East,Tier 4 - General Student,Doctoral,13
2018,2018 Q1,Oman,Middle East,Tier 4 - General Student,Masters,23
2018,2018 Q1,Oman,Middle East,Tier 4 - General Student,Pre-sessional English,2
2018,2018 Q1,Other and unknown,Other,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Other and unknown,Other,Tier 4 - General Student,Masters,3
2018,2018 Q1,Pakistan,Asia South,Tier 4 - General Student,Bachelors,157
2018,2018 Q1,Pakistan,Asia South,Tier 4 - General Student,Below Bachelors,122
2018,2018 Q1,Pakistan,Asia South,Tier 4 - General Student,Doctoral,31
2018,2018 Q1,Pakistan,Asia South,Tier 4 - General Student,Masters,224
2018,2018 Q1,Pakistan,Asia South,Tier 4 - General Student,Pre-sessional English,3
2018,2018 Q1,Panama,America Central and South,Tier 4 - General Student,Bachelors,2
2018,2018 Q1,Panama,America Central and South,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Panama,America Central and South,Tier 4 - General Student,Masters,3
2018,2018 Q1,Peru,America Central and South,Tier 4 - General Student,Bachelors,3
2018,2018 Q1,Peru,America Central and South,Tier 4 - General Student,Below Bachelors,2
2018,2018 Q1,Peru,America Central and South,Tier 4 - General Student,Masters,2
2018,2018 Q1,Philippines,Asia South East,Tier 4 - General Student,Bachelors,7
2018,2018 Q1,Philippines,Asia South East,Tier 4 - General Student,Below Bachelors,3
2018,2018 Q1,Philippines,Asia South East,Tier 4 - General Student,Doctoral,4
2018,2018 Q1,Philippines,Asia South East,Tier 4 - General Student,Masters,9
2018,2018 Q1,Portugal,EU 14,Tier 4 - General Student,Bachelors,1
2018,2018 Q1,Portugal,EU 14,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Qatar,Middle East,Tier 4 - General Student,Bachelors,63
2018,2018 Q1,Qatar,Middle East,Tier 4 - General Student,Below Bachelors,104
2018,2018 Q1,Qatar,Middle East,Tier 4 - General Student,Doctoral,4
2018,2018 Q1,Qatar,Middle East,Tier 4 - General Student,Masters,13
2018,2018 Q1,Qatar,Middle East,Tier 4 - General Student,Pre-sessional English,3
2018,2018 Q1,Refugee,Other,Tier 4 - General Student,Bachelors,1
2018,2018 Q1,Refugee,Other,Tier 4 - General Student,Masters,1
2018,2018 Q1,Russia,Europe Other,Tier 4 - General Student,Bachelors,18
2018,2018 Q1,Russia,Europe Other,Tier 4 - General Student,Below Bachelors,13
2018,2018 Q1,Russia,Europe Other,Tier 4 - General Student,Doctoral,4
2018,2018 Q1,Russia,Europe Other,Tier 4 - General Student,Masters,19
2018,2018 Q1,Russia,Europe Other,Tier 4 - General Student,Pre-sessional English,1
2018,2018 Q1,Rwanda,Africa Sub-Saharan,Tier 4 - General Student,Bachelors,9
2018,2018 Q1,Rwanda,Africa Sub-Saharan,Tier 4 - General Student,Below Bachelors,4
2018,2018 Q1,Saudi Arabia,Middle East,Tier 4 - General Student,Bachelors,54
2018,2018 Q1,Saudi Arabia,Middle East,Tier 4 - General Student,Below Bachelors,74
2018,2018 Q1,Saudi Arabia,Middle East,Tier 4 - General Student,Doctoral,208
2018,2018 Q1,Saudi Arabia,Middle East,Tier 4 - General Student,Masters,54
2018,2018 Q1,Saudi Arabia,Middle East,Tier 4 - General Student,Pre-sessional English,120
2018,2018 Q1,Senegal,Africa Sub-Saharan,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Senegal,Africa Sub-Saharan,Tier 4 - General Student,Masters,2
2018,2018 Q1,Serbia,Europe Other,Tier 4 - General Student,Doctoral,1
2018,2018 Q1,Seychelles,Africa Sub-Saharan,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Sierra Leone,Africa Sub-Saharan,Tier 4 - General Student,Bachelors,3
2018,2018 Q1,Sierra Leone,Africa Sub-Saharan,Tier 4 - General Student,Masters,4
2018,2018 Q1,Singapore,Asia South East,Tier 4 - General Student,Bachelors,7
2018,2018 Q1,Singapore,Asia South East,Tier 4 - General Student,Below Bachelors,17
2018,2018 Q1,Singapore,Asia South East,Tier 4 - General Student,Doctoral,1
2018,2018 Q1,Singapore,Asia South East,Tier 4 - General Student,Masters,5
2018,2018 Q1,Singapore,Asia South East,Tier 4 - General Student,Pre-sessional English,1
2018,2018 Q1,Somalia,Africa Sub-Saharan,Tier 4 - General Student,Masters,2
2018,2018 Q1,South Africa,Africa Sub-Saharan,Tier 4 - General Student,Bachelors,11
2018,2018 Q1,South Africa,Africa Sub-Saharan,Tier 4 - General Student,Below Bachelors,6
2018,2018 Q1,South Africa,Africa Sub-Saharan,Tier 4 - General Student,Doctoral,3
2018,2018 Q1,South Africa,Africa Sub-Saharan,Tier 4 - General Student,Masters,11
